N; Data;Nome;Nacionalidade;Profissão;Domicilio;OBJECTO DA INVENÇÃO;OBSERVAÇÔES
4.734;22;A mesma.;Idem ;Idem;Idem;Dispositivo de obturação para tu- bos lança-torpedos (2).;NA
4.735;92 > >;A mesma;Idem ;Idem;Idem;Procasso para assegurar e conser- var, durante a immersão, o equili- brio longitudinal em submarinos e submergiveis, e dispositivo para esse fim (3).;NA
4.736;22 >;William Edwin Heys e Robert Macpherson;Inglez ;Technologista Engenheiro;Bushey (Inglaterra) Brondesbury (idem);Novo detergente aperfeiçoado, para ser usalo com agua fortement cal- carea ou salgada.;NA
4.737;22 >;Louis Bernhard Baron; ;Industrial;Londres (idem);Aperfele amentos em machinas de fa- bricar cigarros.;NA
4.738;22;Joaquim Lucio de Figueiredo Lima;Brasileiro ;;Rio da Janeiro;Apparelho dinominado Protector artistico>. destinado a proteger. ele- gante e artisticamente, os arvore- dos collocados nas praças, ruas e avenidas.;NA
4.739;25 >;George Kirkegaard;Norte-americano, ;;Nova York (Estados Unidos da America).;Aperfeiçoamentos em fechos para gar- rafas,;NA
4.74;27;Ivan de França Miranda e Antonio Bean- dão;Brasileiro. ;Electricisia. Industrial;1 Rio de Janeiro;Apparelhos gazometros, lampadas e velas, denominados <Victoria>>. com applicação ao desenvolvimento da produeção do gaz acetyleno inexplo- sivo, por meio do carbureto de cal- cio, sulphato de cobre ammoniacal e um composto acetico.;NA
4.741;28 >;Simon Lake;Inglez ;Engenheiro;Berlim (Allemanha);Aperfeiçonmentos em instrumentos optivos,;NA
4.742;28;Alberto Nobre;Portuguez ;Negociante;Hamburgo (idem);Systems protector. aperfeiçoado, para rolhas de garrafas, etc.;NA
4.743;4 out.;Societé Chimique des Usines du Rhône;Franceza ;Industrial;Saint Fons (França);Fechos para recipientes de substancias volateis.;NA
4.744;"6 """;Meyer Wilderman;Russo ;;Londres (inglaterra);Aperléigoamentos no tratamento da borracha.;NA
4.745;6 >;Charles Blados Coverdale Storey e John Andrew Wauchope;Inglez ;Engenheiro de minas Industrial.;Lancaster (idem);Aperfeiçoamentos em machinas de tri- turar minereos.;NA
4.746;6 >;William Youlten; ;Architecto;Londres (idem);Aperfeiçoamentosem meios de soparar impurezas dos residuos de machinas para limpar alrodão, pellos ou la.;NA
4.747;6;"John William Esser; George William Barratt; Frank Barratt.";;"Engenheiro; Capitalistas";1 Idem (idem);Aperfeiçoamentos em armas pequenas de carregar pela culatra.;NA
4.748;6; Margreth's Weltlicht, Feurheerd & Comp. mit beschränkter Haftung;Allemã ;Industrial;Hamburgo (Allemanha);Novo processo de illuminação pelo gax acetileno e apparelho para esse fim.;NA
4.749;8;Perminio Carneiro Leão (2° tenente);Brasileiro ;Engenheiro militar;Rio de Janeiro;Processo para a fabricação de uma céra semelhante à das abelhas, a que denominou <Simile>.;NA
4.809;26 de dez.;The Brown Hoisting Machinery Company;Norte-americana Industrial;Cleveland, Ohio (Estados Unidos da Ameriea).;;Novo systema de construcção de mas- tros altos metallicos (1).;
4.81;26 > >;A mesma; ;Idem;;Novo systema de fundação de mastros para telegraphia sem flo (2). em cabos para;NA
4.811;26;A mesma; ;Idem;;Isolador para plumas mastros altos (3).;NA
4.812;26 >;Companhia Cervejaria Brahma;Brasileira ;Rio de Janeiro;;Novo systema de arrolhar garrafas, denominado < Arrolhamento du- plos (1).;NA
4.813;"28 > """;Pedro Cardoso de Azevedo;Brasileiro ;Idem;;Novo apparelho interruptor-gradua- dor de luz electrica, denominado enterruptor-graduador de luz de Azevedo (5).;NA
1;3 de jan.;Frnando Xavier da Silveira;Brasileiro;Engenheiro;s. Paulo (Estado de São Paulo).;Novo systema de caixas de papelão, com tampa, feitas de uma só peça, sem serem necessarios grampos ou gomma.;4 de dezembro de 1905
2;3 >;Jorge Suppo e Francisco Antonio de Lemos.;Brasileiros;Industriaes;Soledade (Estado de Mi- nas Geraes).;Freio auxiliar automatico, denomi- nado <Instantaneo>.;1905
3;5;Manoel José da Silva Pinto;Brasileiro;Industrial;Rio de Janeiro.;Rodas de raios elasticos e flexiveis;12 1905
4;11;Guilherme Guimarães Junior;;;Idem;Systema de aununcios sobre latas, caixas e outras vasilhas de fulha de Flandres, denominadas < Latas re- clame;14 1905
5;17;Redomark Symphronio de Albu- querque. e José Pollonio 4;> Italiano;Medico. Engenheiro;;Producto chimico, incolor e inodoro. desinfectante, antiseptico,anti putrido e desodorante, denomidado <Desinfectante Magistral>. ;15 1905
6;22;Henrique Deslandes;Brasileiro;Industrial;;<Velo aereo>;18 1905
7;7 fev.;Angelo Recotini Casagrande;Italiano;Engenheiro;Parahyba do Sul (Esta- do do Rio de Janeiro.;Carro mecanico para bombeiro, pontes militares, etc. ;18 1905
8;23;Octavio Azambuja Neves;Brasileiro;Empregado no commer- clo.;Rio de Janeiro.;Cabide annunciador combinado com cadeiras, bancos e assentos quaesquer de serventia publica.;9 de fevereiro de 1906
9;6 mar.;Everard Steele;Norte-americano.;Industrial;Berlim (Allemanha);Nova materia explosiva denominada Steelite ou polvora <C. Silesia>. ;10 1906
10;6;José Coelho Barbosa;Brasileiro.;Medico homœopatha;Rio de Janeiro.;Especifico para preservar e curar a tuberculose no primeiro e principios do segundo grão, ao qual denominou Capri.;17 1906
11;10 >;Thomaz Placido Teixeira de Farias e Walfrido Souto Maior.;Brasileiros;Empregados no commer- cio.;Idem;Apparelho mecanico, denominado <Sanitario Placido, destinado ao saneamento dos vehículos.;28 1906
12;14;Guilherme Althaller (1° tenente);Brasileiro.;Industrial;Idem;Apparelho, denominado <Hygienico>, para a conservação da cerveja em deposito.;9 1906
13;22 >;José Manoel Pinto de Lima Junior, João Antonio Alves Botelho e Francisco José da Fonseca Braga. ;Brasileiros;Empregados publicos;Districto Federal;Apparelho, a que denominaram <Registro regulador de rennas de agua inalteravel destinado a re- gular o supprimento de agua aos predios, não podendo ser violado.;22 1906
14;23;Honorio Ferreira;Brasileiro;Official mecanico.;S.Paulo(Estado de São Paulo).;Processo para dar perfeita e constante força impulsora ás machinas a va- por em geral a que denominou < Força constante e regular do vapor nas machinas em geral >. ;19 1906
15;28;Henrique Chistiano Rohe ;;Industrial ;Rio de Janeiro ;Aperfeiçoamentos em automoveis. ;
16;28;Roberto de Struve;Norte-americano.;Mecanico;Petropolis (Estado do Rio de Janeiro) ;Processo aperfeiçoado fabricar para cravos de ferrar. ;6 de março de 1906 2 1906
17;20;Euzebio Maximiano Pires Ferreira;Brasileiro;Industrial;Rio de Janeiro;Vinagre commum extrahido da canna de assucar e seus productos.;13 1906
18;25/abr;José Bento Pereira Gandra;Portuguez;Empregado no commer- cio.;Idem;Novo systema de ragisto para penna d'agua, denominado eSegurança>. ;31 > 1906
19;27 Pag. 26 -20;Antonio José Tiburcio;Brasileiro;Funccionario publico;Idem;Registo de graduação para penna d'agua, denominado € Registo hy- drostaticos.;20 1906
20;27 de abr.;Juan Salaberty Santaló;Hespanhol;Mecanico;Rio de Janeiro;Caixa de metal e respectivo sello de zinco ou ferro zincado, destinada a encerrar o apparelho <Regulador Nacional>>, de sua invenção, privi- leglado pela carta-patente n. 4.015.;31 de margo de 1906
21;30 > >;Eduardo José de Souza Proença;Brasileiro;Industrial;; Corpo pla-tico, com base de cimento, a que denomin u <Marmore Carioca>. destinado a substituir os marmores naturaes, ardosias, etc. em suas applicações.;17 de janeiro de 1906
22;30 > >;Joaquim Teixeira de Freitas;;;S. Paulo (Estado de São Paulo).;Methodo ou processo de conservação de substancias alimentares.;28 de março de 1906
23;2 mai.;José Knoller;Italiano;;Idem;Polvorinho cylindrico, destinado a conter e encerrar polvora.;3 de abril de 1906
24;5 > >;Fernando Leite da Fonseca;Brasileiro.;>;>;Carteira de papelão, para acondicio- nar cigarros, denominada <Carteira Paulista,;18 de dezembro de 1905
25;14 > >;Edmond de Salusse e Joaquim Antão da Fonseca Prata;Norte-americano, Brasileiro;Engenheiro civil Mecanico;Rio de Janeiro;Apparelho que se destina. por si só, a elevar agua a um nivel supe- rior e ao qual denominaram <Moto- solo systema Prata.;16 de abril de 1906
26;16 > >;Honorio Ferreira;;>;S. Paulo (Estado de São Paulo).;Apparelho lubrificante, automatico, do rebordo dos rodados sobre tri- lhos.;7 1906
27;17;Angelo Recotini;Italiano;Engenheiro;Parahyba do Sol (Esta- do do Rio de Janeiro);Rodas hydraulicas, systema Reco- tini>. com cabos ou correntes atra- vês dos rios, para força electrica, irrigação, etc. ;19 1906
28;21;"João de Simas Enéas; Alfredo de Simas Enéas";Brasileiro;"Industrial; Militar";Rio de Janeiro;Ambulancia desmontavel, sem molas.;24 1906
29;22;Marcos Evangelista de Moura e Henrique d'Oliveira Dias;;"Pharmaceutico pratico; Lavrador";"Idem; Vassouras (Estado do do Rio de Janeiro)";Apparelho denominado <Formi-Extinctor Fluminense> e destinado a matar formigas saúvas por meio deun preparado chimico fabricado pelos mesmos concessionarios.;25 1906
30;25;Euzebio Maximiano Pires Ferreira;;Industrial;Rio de Janeiro.;Cerveja commum manipulada com aguas mineraes  naturaes.;5 de fevereiro de 1906
31;4 jua.;Eduardo José de Souza Proença;;;Idem;Applicação de caixas domiciliarias para lavagem de esgotos de mate- rias fecaes, etc.;30 de abril de 1906
32;5 >;Christovão de Magalhães Nogueira.;;Guarda-livros;Estado do Rio de Ja- neiro.;Novo systema de carros movidos por tracção animada.;7 de maio de 1906
33;13 > >;Hans Müller;;Engenheiro;Rio de Janeiro.;Apparelho para registo de penna d'agua, denominado <Rellum n. l>.;11 de abril de 1906
34;13 > >;o mesmo;;;Idem;Apparelho para registo de penna l'agua, denominado <Rellum n. 2.;11 > > 1906
35;20 >;Geraldo Dannemann;>;Industrial;S. Felix (Estado da Ba- hia);Novo systema de phosphoros e modo de acondicionamento dos mesmos.;12 de maio de 1906
36;22;"Carlos Luiz de Vargis Dantas; Antero Guimarães";Portuguez;"Medico; Negociante.";Rio de Janeiro;Electrocleitro outechadura electrica, applicavel a portas e portões de qualquer naturesa.;31 1906
37;26 >;Alfredo de Simas Enéas;Brasileiro;Militar;Idem;Ambulancia sem molas, podendo subir planos inclinados, sem mudar posição horizontal dos doentes.;8 1906
38;3 de jul.;John Burgum;Inglez;Engenheiro mecanico;Rio de Janeiro.;Aperfelçoament 8 em caixas de des- carga para lavagem.;1 de junho de 1906.
39;16 > >;H. Libran;Russo;Negociante;;Processo para fabricar xaropes e cre- mes alimenticios.;8 > 1906.
40;16;João Carlos Rodrigues;Brasileiro;Lavrador;Rio Claro (Estado de S. Paulo).;Machina aratoria denominada <Cul- tivador João Carlos.;"15 "" 1906."
41;19;Alfredo de Simas Enéas;;Militar;Rio de Janeiro;Viatura de Partinium, desmonta- vel, para remuniciamento ás tropas em terrenos planos ou montanhosos.;30 1906.
42;21;Fernando Arens Junior;;Engenheiro;s. Paulo (Estado de São Paulo).;Processo para a fabricação do ar, oxygenco e azoto liquidos.;2 de julho de 1906.
43;24;Lawrence de Salusse Lussac e Alo- xandre Proust.;Norte americano Francez;Industrial;Rio de Janeiro;Aperfeiçoamentosna fabricação dos ti- jolos, telhas e artigos semelhantes.;19 de junho de 1906.
44;28 >;Francisco José de Castro Brown;Brasileiro;Despachante geral da Al- fandega.;;Calçado impermeavel por meio do aluminio.;11 de julho de 1906.
45;31;João Francisco Pontes;;Negociante;;Applicaçãoda entrecasca da chorisie ventricose (vulgarmente conhecida por <barriguda>) a fins industriaes.;6 >> > > 1906.
46;11 ag.;Tarquinio França de Assumpção e Rodolpho Pontes.;;Mecanico Agrimensor;;Apparelho denominado <Lubrifica- dor automatico>, qua tem por fim lubrificar carros e machinas de es- tradas de ferro, quando em viagem, por melo de ar comprimido ou va- por, vindos da machina.;28 de maio de 1906.
47;15 > >;João José de Mendonça Cardoso;;Funccionario publico;Nitheroy (Estado do Rio de Janoiro);Producto chimico, a que denominou <Parafina brazileira, destinado a substituir a parafina americana e seus congeneres no preparo dos phos- phoros de segurança e outros pro- ductos industriaes que exigem o em- prego daquella substancia.;3 de agosto de 1906.
48;29 > >;Crag & Martins e Tomasini;Inglez o 1°, brasi- leiro o 2° e ita- liano o 3.;Industriaes;s. Paulo (Estado de São Paulo).;Machina ou apparelho para sec- car massas alimenticias e outros productos.;20 de julho de 1906.
49;11 set.;George Chalmers;Inglez;Engenheiro de minas;Villa Nova de Lima (Es- tado de Minad Geraes);Protector de pó para uso de pes- soas que trabalham com machinas de perfurar pedra.;16 de agosto de 1906. 1906.
50;18 A;Augusto Rodrigues Pereira;Brasileiro;Industrial;Rio de Janeiro;"Novo systema de motor, que designou com o nome de <Sophia"" ou <Motor de tóro.";"18 > > """
51;6 out.;Jacob Hasselroithner;Austriaco;Mecanico;S. Paulo (Estado de São Paulo).;"Apparelho de esgotar líquidos, de- nominado <Siphão Austria""";17 de setembro de 1906.
52;11 >;Adél Barreto Pinto;Brasileiro;Engenheiro;Rio de Janeiro;Novo processo denominado dor>, destinado á esterilização e con- servação da manteiga, do leite, dos vinhos e succos em geral.;14 >> 1906.
53;11 de out.;Alberto Pinheiro de Lima;Brasileiro;Mecanico;Campos (Estado do Rio de Janeiro).;Novo apparelho, denominado Patins motores>>, permittiado fazer girar á mão as rodas motrizes (ou outras) em locomotivas sobre a via e em condi- ções de marcha.;20 de setembro de 1906
54;11 > >;Francisco Guilherme d'Aloé Tournée;Brasileiro natura- lizado.;Eugenheiro civil;Nitheroy (Estado do Rio de Janeiro).;Beliche para navios, que evita o eajõo do mar, deaominado Columbia Cabine.;10 1906
55;13 > >;Arthur da Costa Lima;Brasileiro;Machinista;Rio de Janeiro;Machina motriz a que denominou < Ideal motor>.;27 1906
56;13 > =;Honorio Moraes (capitão);;Proprietario;;Systema especial de construcções de depositos de inflammaveis. deno- minado;22 1906
57;13;Alberto Seixas;;Lavrador;Ribeirão Preto ( Estado de S. Paulo).;Sacco impermeavel, provido de fecho de segurança, para acondiciona- de caté outros productos.;24 1906
58;18;Antonio Coelho de Magalhães;;Industrial.;Rio de Janeiro;mento e Registo de penna d'agua, a que de- nominou <Registo inviolavel>.;20 1906
59;6 nov.;Henriette Wilhelmine Paulmana;Allemã;>;;Brinquedo para creanças, denomi- nado Pelite roulette,;13 de outubro de 1906
60;6 >;Antonio Pereira de Souza Sobral;Portuguez;>;;Systema de automoveis ou vehi- culos, dotados de apparelhos para moer café e canna.;19 1906
61;27;Francisco Antonio Siciliano;Brasileiro;>;S. Paulo (Estado de São Paulo).;Descascador aperfeiçoado para café e arroz, denomina.io < Deseas- cador Francisco Siciliano, melho- rado.;27 1906
62;27 >;Bartholomeo Garrett;Hespanhol;Typographo;Idem;Preparado denominado < Lixivia li- quida Brazil>.;26 1906
63;7 dez.;João Nogueira Malheiros;Brasileiro,;Relojoeiro;Rio de Janeiro,;Apparelho salva-vidas, denominado Esperança, destinado a permittir a natação rapida,;10 de novembro de 1906
64;18 > >;E. Mezergues e Lucien Remy;Francezes;Industriaes,;;Novo processo electrolytico para fa- bricar gaz oxygenco e hydrogeneo, denominado Electrozyd.;26 >> > > 1906
65;18 > >;André Cateysson;Francez;Industrial;;Apparelho salva-vidas, a que deno- minou <Salva-vidas Instanianeo>.;4 de abril de 1905
66;19 > >;Francisco Falcone;Italiano;;;Vehículo a que denominou <Carreta Yvonnette>> destinado á venda de flores, fructas, doces e outros objectos de pequeno commercio.;30 de outubro de 1906
67;21;Companhia Mundial;Brasileira;Commercial;s. Paulo (Estado de São Paulo);"Apparelho destinado a aquecer agua, denominado Aquecedor Instan- tane) """;28 de novembro de 1906
68;;Maria Joanna Quintanilha de Sá;>;Lavrador.;Santa Rosa, Nitheroy (Estado do Rio de Ja- neiro).;"Applicação therapeutica do fungus ou cogumelo vermelho, vulgarmente conhecido pelo nome de corelha de pao"", ao tratameato das affecções pulmonares e da tuberculose em geral.";17 1906
4.485;2 de j an.;Otto Hesser;Allemão;Industrial;Würtemberg (Allemanha) de Janeiro;Machina para fabricação de saccos de papel. ;NA
4.486;3 > >;Fabio Fabrici;Brasileiro;Militar;Rio de Janeiro;Noyo systema de fixação da sola dos calçados á vira. ;NA
4.487;3 >;Augusto Landenne;Francez;Negociante;;Novo systema de revestimento das jartes interiores dos vehículos.;NA
4.488;3 > >;Filippo Gelli;Italiano;Industrial;Petropolis (Estado do Rio de Janeiro). ;Nova cadeira de abrir e fechar.;NA
4.489;3 > >;Octavio Valobra;;Engenheiro;Rio de Janeiro;Collete aperfeiçoado para senhoras. ;NA
4.49;3;Antonio de Milita;;;S. Paulo (Estado de S. Paulo);Apparelho escolhedor-soparador de café e sementes similares. ;NA
4.491;3;Bertram Parrott Gray;Inglez;Advogado;Birmingham (Inglaterra);Aperfeiçoamentos em almofadas para ferraduras.;NA
4.492;8;Carlo Del Lungo;Italiaso;Professor;Spezia (Italia); Novo methodo e disposição para reluzir a resistencia offerecida pela agua á marcha de um navio. ;NA
4.493;8;Wilhelm Krische;Allemão;Industrial;Hannover (Allemanha);Aperfeiçoamentos em aros de rodas de vehiculos de transitar em caminhos ou sobre trilhos.;NA
4.494;8;"Louis Phillipps; Cawood Lewis Robinson";Inglez;"Engenheiro; Empregado no commercio";"S. João d'EI-Rey (Estado de Mi- nas Geraes); Rio de Janeiro.";Systema de mesas e partes connexas para tratamento de areias contendo ouro fino, denominado <Systema Phillipa> .;NA
4.495;8;Bento Martins de SA;Brasileiro;Industrial;>;Applicação e Systema de carro para vendedor ambulante de mercadorias.;NA
4.496;8;Luschau & Rendtorff;Allenães;Industriaes;Hamburgo (Allemanha);Apparelho para annuncios, consistindo em uma tira sem fim posta em mo- vimento porum mecanismo de rologio ou um motor e passan lo sobre cylindros contidos em uma caixa. (1);NA
4.497;9;Napoleon Valero Martim;Hespanhol;Jornalista;Madrid (Hespanha);Novo systema de publicidade vocal por meio de um manequim com phonographo ou outra machina falante.;NA
4.498;11 >;Pedro Cardoso de Azevedo;Brasileiro.;Industrial;Rio de Janeiro;Interruptor-graduador Azevedo, intensidade da luz para graduar a de uma lampada electrica incan- descente e economizar a corrente electrica quando a luz estiver sendo graduada.;NA
4.499;13 > >;Maximino Pinto Mendes;Portuguez;Negociante;;Novo systema de escada portatil para casas de negocios. ;NA
4.500;13;c. c. Stockle;Norteamericano.;;;Systema aperfeiçoado de impressão a fogo sobre objectos de couro.;NA
4.501;13;Edward J. Deegan e Charles H. Preffen;Norte-americanos;industriaes;Nova York (Estados Unidos da America);Saccos impermeaveis aperfeiçoados.;NA
4.502;15 de jan.;Antonio Coutinho de Vasconcello:;Brasileiro;Engenheiro;Rio de Janeiro;Processo completo de calçamentos e pavimentos por meio de cro-ta monolithica, superficie lisa de as- phalto ou rochas asphalticas, schis- tos betuminosos do Brasil, extracti- ficações betuminosas brasileiras ou estrangeiras, argillas betuminosas brasileiras e asphalticas, em pasta.;NA
4.503;18 >;Paulo Quitzrau;;Negociante;Porto Alegre (Estado do Rio Grande do Sul);Novo alimento para animaes (caval- los, carneiros, porcos, etc., deno- minado <Meladina,;NA
4.504;19;Francisco de Paula e Oliveira;;Artista;Rio de Janeiro;Novo systema de fazer ladrilhos no proprio solo,;NA
4.505;19 > >;Carl Pehr Josef Jonsson;Sueco;Industrial;Stockholmo (Suecia);Novo machinismo para distribuidores automaticos.;NA
4.506;19;Domingo Giardino Iantorno;Argentino;;Buenos Aires (Republica Argen- tina.;Novo systema de fabricar calçado cra- veado.;NA
4.507;19 >;Pierro Lassablière;Francez;Medico;Paris (França);Processo de desinfecção de locaes, objectos, etc., e apparelho para esse fim.;NA
4.508;23 >;Lino Joaquim de Almeida Aguiar;Brasileiro;Commerciante;Manãos (Estado do Amizonas);Machina a que denominou ras, destinada a brunir velas de cêra.;NA
4.509;22 >;o mesmo.;;;;Machina a que denominou <Lucimar>, destinada á fabricação de velas do céra.;NA
4.510;24;Enrico Roggero;Italiano;Industrial;Genova (Italia);Geradores de vapor de tubos de aguas munidos de tubos para passagem do gaz de combustão no seu in- terior.;NA
4.511;24;The Ehstromer Accumulator Company, Li-;Ingleza;;Londres (Inglaterra;Aperfeiçoamentos em ou referentes a ;NA
;;mited, e Emil L. Oppermann.;Inglez;Eagenheiro;;;NA
4.512;21;Herbert Percy Seunderson;>;;Bedfort (Inglaterra);Aperfeiçoamentos em motores moveis para vehiculos, tracção o outros fins semelhantes.;NA
4.513.;26 >;Paschoal Segreto;Italiano;Emprezario theatral;Rio de Janeiro;Novo systema de propaganda desti-;NA
;;;;;;nado a chamar a concurrencia ás casas de diversões ou especta- eulos.;NA
4.514;29;o mesmo;>;>;;Novo apparelho para tiro ao alvo, de- nominado <Tiro ao Alvo Brazil>.;NA
4.515;31;Jacob Stanger;Allemão;Capitalista;Ulm, Wurtemberg (Allemanha);Apparelho de banhos para molestias contagiosas.;NA
4.516;6 fev.;Elpidio de Lacerda Werneck;Brasileiro;Engenheiro mecanico;Leopoldina (Estado de Minas;Processo aperfeiçoado de prender a sola á parte superior do calçado.;NA
4.517;7;Giuseppe Borini;Italiano;Industrial.;Geraes). Reggio Emilia (Italia);Chapim de madeira com caixilho;NA
;;;;;;do ferro destinado a carris de vias- ferreas.;NA
4.518;7;Alexandre Behmer;Brasileiro;;s. Paulo (Estado de S. Paulo).;Fabricação de um preparado em för=;NA
;;;;;;ma de pasta. graxa ou semelhante, para tratar, polir e lustrar calçado preto ou de cór.;NA
