"N";"Data";"Nome";"Nacionalidade";"Profissão";"Domicilio";"OBJECTO DA INVENÇÃO";"OBSERVAÇÔES"
"4.228";"18";"Marconi's Wireless Tole- graph Company, Limi- ted.";"Ingleza";"Industrial";"Londres (Ingla- terra).";"Aperfeiçoamento: em apparelhos trans- missores para a telegraphia sem fios,";""
"4.229";"18";"A mesma";"-";"-";"-";"Aper l'eiçoamentos em transmissores de signaes telegraphicos.";""
"4.230";"18";"Window Glass Machine Company.";"Norte-america- na.";"";"Pittsburg (E. U. da America do Norte).";"Processo aperfeiçoado para estirar fo- lhas de vidro e apparelho para esse fim.";"Cessão de John Hen- ry Lubbers."
"4.231";"18";"Champion Seal Company.";"Norte-america- na.";"";"New-York (E. U. da America do Norte).";"Dispositivo para tapar garrafas.";"Cessão de Ed w a r Daniel Sch- mitt."
"4.232";"18";"Hallack Abbey Penrose";"Norte-america- no.";"";"Idem";"Aperfeiçoamentos em encaixotamento para embarque.";"Transferida a Champion Seal Com- pany, Now-York."
"4.233";"21";"João de Figueiredo Rocha.";"Brazileiro";"Engenheiro mi- litar.";"Rio ão Janeiro.";"Applicação da planta a que denominou "" Sucarina ao fabrico do papel, do alcool, a forragens verdes e seccas e das suas sementes a farinaceos eal- piste.";""
"4.234";"23 de janeiro";"Josef Schulz.";"Austriaco";"Engenheiro in- dustrial,";"Petropolis (E. do Rio de Janeiro).";"Systema de placas-telhas destinadas a telhados ou coberturas, denominado Schulz >";""
"4.235";"23 """;"Francisco da Silva Gui- marãos Alexandre Ludgero Vaz Sudré. Manoel Antonio Benning";"Brazileiro";"Industrial Mecanico. Emp. municipal";"Rio de Janeiro.";"Nova applicação do phonographo, gra- mophone ou qualquer outro appare- lho repetidor ou reproductor da voz como pregoadores do annuncio com- mercial ou reclame.";""
"4.236";"28";"Edward Shaw";"Britannico";"Engenheiro";"Londres (Ingla- terra).";"Aperfeiçoamentes no tratamento ou preparo de assucar e machinismo para este fim.";""
"4.237";"31";"Manoel Rodrigues Trin- dade,";"Brazileiro";"Negociante";"Bello Horizonte (E. de Minas Geraes).";"Um dispositivo para cortar tecidos, fa- zendas, couros etc., adaptavel a machinas de costura.";""
"4.238";"31 """;"Ronald Francis Mc. Feely";"Norte-america- no.";"Industrial";"Beverly (E. U. da America do Norte).";"Uma machina aperfe.coada para mar- tellar o calçado.";"Transferida á United Shoe Ma- chinery C. of South America de Beverly."
"4.239";"31 "" """;"Charles Frederick Strauss";"Britannico";"Engenheiro de minas.";"Kalgoorlie (Aus- tralia Occi- dental).";"Uma alavanca de garra e accessorios aperfeiçoados para alimentadores de minerio,";""
"4.249";"14 de fev.";"Sociedade Rovere, Salasco & Comp.";"Italiana";"Industrial";"Turim (Italia).";"Processo para reduzir a frio, sem em- prego de alambiques e semelhantes, a densidade ou peso de oleos, afim de empregal-os à illuminação e outros usos industriaes.";""
"4.250";"16";"Manoel Rodrigues Trin- dade.";"Brazileiro";"Negociante";"Bello Horizonte (Estado de Mi- nas Geraes).";"Novo processo de cortar mecanicamente palas de bonnets, denominado "" Sa- ca-palas"".";""
"4.251";"16";"Pereira d' 'Aguiar & Ir- mão.";"Portuguezes.";"Ourives - fabri- cantes.";"Rio de Janeiro.";"Applicação nova de guarnições de metal a objectos de barro.";""
"4.252";"16";"Roberto Gustavo Hoe- ning.";"Brazileire";"Negociante";"Cachoeira (Es- tado da Bahia)";"Aperfeiçoamentos em caixas de cha- rutos.";""
"4.253";"3 de março";"Luiz Manoel Pinto de Queiroz. Octavio Pacheco e Silva";"Brazileiro";"Pharmaceutico. Engenheiro";"s. Paulo (E. de $ S. Paulo).";"Nova applicação dos vegetaes Hibisous tiliaceus, Aristida pallens, Gossy- pium, Musa paradisica E textilis, Cecropia palmata, para obtenção de cellulose, pasta de papel, feitro e te- cidos.";""
"4.254";"4";"João Geraque Murta";"";"";"Rio de Janeiro. s. Paulo (E. de s. Paulo).";"Hydrometro Murta";"Dependente do paga- mento da publicação do relatorio"
"4.255";"4";"Antonio Eiland,";"Hungaro";"Chimico";"Rio de Janeiro. s. Paulo (E. de s. Paulo).";"Novo formento denominado Fermento Natural";""
"4.268";"27 de março";"Dr. Pierre Robin";"Francez";"Medico";"Paris (França).";"Um systema de apparelho para amor- tecer os choques em vehículos.";""
"4.269";"27";"Gustav Theodor Richard Jacobi. Carl Robert Richard Fis- cher.";"Allemão";"Negociante Engenheiro";"Hamburgo (Al- S lemanha.";"Aperfeiçoamentos em fechos para gar- rafas.";""
"4.270";"27";"Os mesmos";"-";"-";"-";"Um apparelho para fabricação de fechos de garrafas ou analogos, por meio de capsulas internas.";""
"4.271";"30";"Hedwiges Dias de Oliveira";"Brazileiro";"Industrial";"S. Paulo (Estado de s. Paulo).";"Um systema de polvorinhos de madeira.";""
"4.272";"30";"Robert Cooke Sayer";"Inglez.";"Engenheiro civil";"Bristol (Ingla- terra).";"Aperfeiçoamentos em meios para que trolleys ou vehiculos recebam e de- volvam corrente electrica de condu- ctores por elles percorridos e obte- nham movimento.";""
"4.273";"30";"João Alexandrino da Sil- va.";"Brazileiro";"Negociante";"Rio de Janeiro.";"Um apparelho applicado a carteiras ou caixas de cigarros e charutos e a en- voltorios para artigos diversos, de- nominado Consultor Mecanico "".";""
"4.274";"30 a";"Auguste Landenne";"Francez";"";"Idem";"U ma "" Mesa-Annuncios Aperfeiçoada>.";""
"4.275";"5 abril";"Antonio Carlos de Souza. Antonio de Salles Fer- reira.";"Brazileiro";"Industrial";"Idem";"Um systema de urnas funerarias.";""
"4.276";"5 """;"[RodolphoAugusto França";"";"";"Porto Alegre (E. do Rio Grande do Sul).";"Baldes aperfeiçoados de folhas de Flan- dres ou semelhantes, destinados a conter banhas, manteiga e outros productos.";""
"4.277";"";"Dr. Hans Rosemann .";"Allemão";"Professor.";"Berlin (Allema- nha).";"Aporfeiçoamentos em desinfectantes.";"Transferida a Achille Brioschi & C.,de Milão (Italia)."
"4.278";"5";"Thomas Leopold Wilson.";"Inglez.";"Engenheiro ele- ctricista";"Ottawa (Canadá)";"Uma boia-pharol. de";""
"4.279";"6";"Weiszflog Irmãos & c.";"Allemães.";"Commerciantes.";"S. Paulo (Estado de s. Paulo)";"Um novo systema de pregar blocks folhinhas com folha de Flandres ou outro qualquer metal e de diversas modalidades, que denominaram Block Paulista""";""
"4.280";"8";"Antonio Brandão João Augusto Corrêa.";"Brazileiro";"Industrial";"Rio de Janciro.";"Novo processo de fabricar vernizes, de- nominado "" Borracha Nativa Brazi- leira "".";""
"4.281";"8";"Thomaz Odorico Gomes Monteiro.";"";"";"Belém (Estado do Para).";"Um producto chimico-industrial, de- nominado Pozelina Cantuaria "", destinado a conservar em estado de absoluta fluidez oleite da seringueira, caucho, maniçoba e outras arvores d'onde se extrae a borracha e seus productos pelo tempo que ao explo- rador approuver.";""
"4.282";"10";"Octavio de Almeida Ca- margo.";"";"Lavrador.";"s. João do Rio Claro (Estado de s. Paulo).";"Um esbrugador de café Camargo "", café";""
"4.283";"11";"Rhodigenio Kuntz de Castro.";"";"";"Botucatú (E- de s. Paulo).";"Um separador - ventilador para em côco, denominado "" Separador Kuntz "".";""
"4.284";"11";"Fernando Xavier da Sil- veira.";"";"Engenheiro";"S. Paulo (Estado de s. Paulo).";"Um processo de estampar, em madeira, desenhos em alto ou baixo relevo e apparelho para esse fim.";""
"4.285";"11 de abril.";"Adolpho Antonio da Silva";"Brazileiro";"Industrial";"Pedro do Rio (E. do Rio de Ja- neiro).";"Um lescascador-brunidor-ventilador aperfeiçoado, denominado "" Machina Petropolis "".";""
"4.286";"11";"George Finn Arthur Seldon Pike";"Britannico";"Ger. de comp Engenheiro";"Wellington (N. Zelandia).";"Um dispositivo aperfeiçoado para trans- porte de ovos.";""
"$,287";"11";"Bromberg & c.";"Brazileiros";"Negociantes.";"Porto Alegre (E. do Rio Grande do Sul).";"Uma caixinha aperfeiçoada para acon- dicionamento de talheres, facas, co- lheres e artigos semelhantes.";""
"6,288";"11";"William Warr.";"Britannico";"Industrial";"Manchester (In- glaterra).";"Aperfeiçoamentos nos processos de ap- plicação de mordente a fibras vegetaes para as operações de tintura ou im- pressão.";""
"4.289";"11";"Alfred Smallwood.";"Inglez.";"Engenheiro";"Londres (Ingla- terra).";"Aperfeiçoamentos na producção e ap- plicação de calor, para caldeiras de vapor, fornos e semelhantes.";""
"4.290";"11";"Francisco Faria Filho";"Brazileiro";"Machinista";"Piracicaba (E. de S. Paulo).";"Uma chapa de attrito para descascar e beneficiar café,";""
"4.291";"11";"Charles H. Huff Greenleaf W. Pickard Philip H. Wynne,";"Norte-americ "" """;"Industrial";"Boston (E. U. da America do Norte).";"Um methodo e apparelho para separação";""
"4.292";"14";"Ribeiro, Macedo & c.";"Portuguezes os dous primeiros e brazileiro o ultimo.";"Negociantes.";"Rio de Janeiro.";"Uma "" Pasta Victoria"", para archivar correspondencia de bancos, compa- nhias e escriptorios commerciaes.";""
"4.293";"17";"Otto Andréas Eriksen";"Brazileiro naturalizado.";"Official de marinha mercante.";"Idem";"Novo meio de fabricar buchas especiaes de ferro fundido para cubos de quaesquer vehiculos, as quaes deno- minou "" Buchas Eureka";"Dependente o paga- mento da publicação do relato."
"4.294";"18";"Berthold Singer";"Norte-americ";"Agente de pri- vilegios.";"Chicago (E. U. da America do Norte).";"Nova substancia para absorver pó antes e depois de varrer.";""
"4.295";"18";"William Seagrove Ma- gill.";"";"Industrial";"Berlin (Allema- nha).";"Leite secco aperfeiçoado e processo para obte!-o.";""
"4.296";"18";"Joseph Roemer";"";"";"Santa Maria, Ca- lifornia (E. U. da America do Norte).";"Chaves ditas de corrente e semelhantes.";""
"4.297";"18";"Champion Seal Company.";"";"";"New-York (E. U. da America do Norte).";"Aperfeiçoamentos em machinas de rolhar garrafas.";""
"4.298";"24";"Frank Dunnington Ho- pkins.";"";"";"s. Francisco da California (E- U. da America do Norte).";"Aperfeiçoamentos em miras de espin- gardas e semelhantes.";""
"4.299";"28";"Aristides Bastos";"Brazileiro";"Guarda-livros";"Rio de Janeiro.";"Systema aperfeiçoado de abotoar e fechar qualquer especie de calçado, bem como polainas para civis ou mi- litares.";""
"4.300";"9 de maio.";"Antonio José dos Reis,";"";"Empregado pu- blico.";"Idem";"Um preparado, que denominou "" Fa- relo Brazil "", destinado á alimentação do gado e outros animaes.";""
"4.301";"10";"Horacio Corrêa e Silva";"Portuguez";"Industrial";"Idem";"Um processo para tornar inquebraveis as chaminés proprias para lampadas, a que denominou "" Banho Japonez "".";""
"4.302";"11";"Cardoso & Borges.";"Brazileiros";"Pharmaceuticos";"Idem";"Novo sabão para lavagem de roupa sem trabalho, denominado "" Barrelina >.";""
"4.303";"16";"Luiz Bueno de Miranda.";"Brazileiro";"Commerciante e lavrador.";"S. Paulo (Estado de s. Paulo).";"Um cultivador denominado Luiz Bueno constituido pelas modifica- ções introduzidas no cultivador "" Hallock "" afim de adaptal-o para as capinas dos cafézaes.";""
"4.304";"16 de maio.";"Luiz Bueno de Miranda.";"Brazileiro";"Commerciante e lavrador.";"S. Paulo (E. de S. Paulo).";"Um cultivador denominado Antonio Prado"" constituido pelas modifica- ções introduzidas no pulverizador "" Harraw afim de adaptal-o para as capinas dos cafézaes.";""
"4.305";"16";"Henry Charles Ciantar. Umberto Ciantar";"Britannico";"Engenheiro Negociante";"(Londres (Ingla- i terra).";"Novo processo para a extracção do ouro das aguas que o encerram e apparelho para esse fim.";""
"4.306";"16";"Charles Robert Robins. Herbert George Lawrence Garrison Culy Dean Adalbert E. Cady.";"Norte americ - "" """;"Industrial";"W a ter town Eau Claire(E U. da Ame- rica do Norte)";"Aperfeiçoamentos em juntas de trilhos,";""
"4.307";"16";"Luther Peter Friestedt.";"";"Engenheiro";"Chicago (E. U. da America do Norte).";"Aperfeiçoamentos em estacadas metal- licas.";""
"4.308";"16";"Gorham T. Seabury ,";"";"Veterinario.";"Choyenne (E. U. da America do Norte).";"Apparelho de duchas para gado.";""
"4.309";"16";"Alessandro Artom.";"Italiano";"Engenheiro professor.";"Turim (Italia)";"Aperfeiçoamentos na telegraphia sem fios e nas transmissões pelo espaço.";""
"4.310";"16";"Camille Sassin";"Francez";"Engenheiro";"Samarang (Ilha de Java).";"Novo dispositivo de engenho de moer canna, de pressões multiplas.";""
"4.311";"17";"E. Mozergues";"";"Industrial -";"Rio de Janeiro.";"Uma massa isoladora, denominada "" Isolador Mezergues"", que, sendo applicada sobre tubos conductores de vapor e caldeiras, serve para evitar o esfriamento nos ditos tubos e cal- deiras.";"Sob acção de nullidade."
"4.312";"18";"José de Souza Barros.";"Brazileiro";"";"s. Paulo (Estado de s. Paulo).";"Um apparelho transformador da dirc- cção de esforços, que serve como leme de barcos fluctuantes ou aereos, como motor, como creador de estabilidade aos vehiculos o como elevador de barcos aereos ou elevador de pesos.";""
"4.313";"19";"Eduardo José de Souza Proença.";"";"";"Rio de Janeiro.";"Um systema de transportes annuncios applicado a carros de duas e quatro rodas, a bondse wagons de estradas de ferro etc.";""
"4.314";"20";"Borel & C.";"Suissos";"Industriaes";"Idem";"Novo systema aperfeiçoado de acondi- cionamento de cigarros de palha, papel ou outros quaesquer.";"Os conces- sionarios são succes- sores Meuron&C."
"4.315";"22";"Bemvindo Vianna";"Brazileiro";"Negociante";"Idem";"Um systema de acondicionamento, con- servação e propaganda, de discos de zonophones e apparelhos semelhantes com outras denominações, e cylindros de phonographos e apparelhos seme- lhantes, dando ao mesmo systema o nome de "" Propagandophone "".";""
"4.316";"22";"o mesmo";"-";"-";"-";"Di seos para zonophones e apparelhos do mesmo genero com outras denomi- nações, dando a este seu systema de discos o título de Discophones *";""
"4.317";"22";"J. Bastos & C.";"Portuguezes.";"Negociantes.";"Idem";"Systema aperfeiçoado de acondicionar, para expor á venda, cordas para in- strumentos, taes como piano, gui- tarra, violoncello etc.";"Sob acção de nullidade."
"4.318";"25";"(Francisco Palau (Magin Sibis. Luciano Navarro.";"Hespanhol";"Constructor.";"Barcelona (Hes- panha).";"Um apparelho elevador para liquidos.";""
"4.319";"25 d e maio.";"João do Amaral Castro.";"Brazileiro";"Mecanico";"S. Paulo (Estado de s. Paulo).";"Uma machina de beneficiar café, deno- minada Machina Amaral";""
"4.320";"26";"Manoel Soares de Medei- ros (capitão)";"";"Artista";"Nictheroy (E. do Riode Janeiro)";"Uma chata, denominada "" Hygiene para conducção de lixo.";""
"4.321";"27";"Tozaburo Suzuki";"Japonez";"Industrial";"Tokio (Japão).";"Caldeiras a vapor verticaes.";""
"4.322";"27";"o mesmo";"-";"-";"-";"Apparelhos de aquecimento.";""
"4.323";"27";"Victor Nothmann.";"Brazileiro";"Negociante";"s. Paulo (Estado de s. Paulo).";"Seda fabricada de qualquer madeira.";""
"4.324";"29";"Maria de Mello.";"Brazileira";"Industrial";"Rio de Janciro.";"Novo systoma de annuncios, retratos e decorações sobre ladrilhos, azulejos, mozaicos etc.";""
"4.325";"2 de junho.";"The Empire Oil Engine Syndicate, Lted.";"Inglez.";"";"Londres (Ingla- terra).";"Aperfeiçoamentos em machinas ou mo- tores de combustão interna.";""
"4.326";"";"Mott George Gillette.";"Norte-americ.";"";"New-York (E. U. da America do Norte).";"Um fecho para garrafas e apparelho para applicar o mesmo.";""
"4.327";"5";"José Caetano de Almeida Gomes (Dr.).";"Brazileiro";"Medico";"Rio de Janeiro.";"Applicação da folha ou palha da canna de assucar ao fabrico de pasta para papel e de papel de qualquer quali- dade.";""
"4.328";"";"Loewe & Struve";"Brazileiros";"Industriaes";"Petropolis (E.do Rio de Janeiro)";"Aperfeiçoamentos em cravos para for- raduras, denominados "" Cravos Pau- listas, Legitimos, Aperfeiçoados "".";""
"4.339";"17 de junho.";"Paulo Rodrigues da Motta Teixeira.";"Brazileiro";"Mecanico.";"Franca (Estado de s. Paulo).";"character(0) Uma machina combinada para elevar, catar e ventilar cereaes, denominada "" Machina Motta"".";""
"4.340";"19";"Felippe Paez de Souza Brazil.";"";"Industrial";"Curityba (Esta- do do Paraná).";"Umseccador de herva-matte sem fumaça denominado "" Seccador Brazil"".";""
"4.341";"21";"Harvey Ezra Brown";"Inglez.";"Engenheiro";"Norbury (Cond. de Surrey, In- glaterra).";"Aperfeiçoamentos em freios automaticos de vacuo ou a elles referentes.";""
"4.342";"21";"Julius Skall.";"Austriaco";"Industrial";"Praga- Bohemia (Austria-Hun- gria).";"Um apparelho para descer esquifes ou urnas funerarias.";""
"4.343";"21";"Pio Baruffi";"Italiano";"Typographo.";"Milão (Italia).";"Um processo para obter impressões em relevo apparente.";""
"4.344";"21";"Robert Bines.";"Norte-americ.";"Commerciante";"Chicago (E. U. da America do";"Apparelhos telephonicos.";""
"4.345";"21 """;"o mesmo.";"-";"-";"Norte). -";"Systemas e apparelhos telephonicos.";""
"4.346";"22";"o mesmo";"-";"-";"-";"Um transmissor telephonico.";""
"4.347";"26";"José Carlos Vaz";"Brazileiro";"Industr. e agri- cultor.";"Taubaté (Estado de s. Paulo).";"Uma bebida vinosa, a que denominou "" Nectarina""";""
"4.348";"26";"Alexander Vietmeyer Friedrich Wilhelm Viet- meyer.";"Allemão";"Industrial";"Bad - Pyrmont (Allemanha).";"Um novo systema de rolha para gar- rafas.";""
"4.349";"26 """;"Hubert Vincent Blake";"Britannico";"Engenheiro hy draulico.";"Accrington (In glaterra).";"Aperfeiçoamentos em arietes hydrau- licos.";""
"4.350";"26";"Léon Ernest Lachat";"Francez";"Engenheiro con- structor.";"Lyon (França).";"Aperfeiçoamentos em carros, trucks ou trollys dotados de rodas directoras corredias lateralmente.";""
"4.351";"26";"Estepa Blois & C";"Hespanhoes";"Industriaes";"S. Paulo (Estado de s. Paulo).";"Polias aperfeiçoadas de madeira para machinas.";""
"4.352";"26";"Empreza de Aguas Mine- raes de Caxambú.";"Brazileira";"Industrial";"Rio de Janeiro.";"Aperfeiçoamentos no arrolhamento das garrafas de aguas mineraes.";""
"4.353";"27";"Albino Costa (tenente-co ronel).";"Brazileiro";"";"Sant Anna do Livramento (E. do Rio Grande do Sul).";"Carne salgada "" a quente na tempera- tura vital darez e sem o resfriamento em tendaes.";"Transferida a Pedro Irigoyen Filho, da firma Ana- ya & Iri- goyen, do mesmo Es- tado."
"4.354";"27";"Edwin Montagne Wilkes Fernando Avila";"Inglez. Portuguez";"Medico Commerciante .";")Nietheroy (E.do (Rio de Janeiro) Rio de Janeiro.";"Nova applicação das materias primas de porcellana, existentes no Brazil, na fabricação de artigos sanitarios.";""
"4.355";"28";"Kenelen Arnet Gillette.";"Norte-americ.";"Engenheiro me- canico.";"Now-York (EU. da America do Norte).";"Aperfeiçoamentos em machinas de des- caroçar algodão.";""
"4.356";"1 de julho.";"William John Yeoell.";"""";"Artista";"Idem";"Aporfeiçoamentos na producção de su- perlicies para impressão.";""
"4.357";"4: """;"Frederick Henry Lowndes";"Brazileiro";"Empregado no commercio";"Rio de Janeiro.";"Fabricação de tigelinhas ou copos de papelão, ou qualquer outra materia fibrosa, para uso na extracção de borracha e succos vegetaes, assim como usos domesticos e outros fins.";""
"4.358";"4 """;"Nicola Felice";"Italiano";"Industrial";"s. Paulo (E. s. Paulo).";"de Novo apparelho para banhos de chu- veiro, denominado "" Banho Portatil"".";""
"4.359";"7 de julho.";"José Stiene";"Brazileiro";"Industrial";"Jardinopolis (E. de S. Paulo).";"Uma machina de beneficiar arroz, de- nominada "" Stiene"".";""
"4.360";"10";"José Augusto de Maga- lhães.";"Portuguez";"Pharmaceutico.";"Bahia (Estado da Bahia).";"Balsamo Philanthropo destinado a ser usado para a cura da falta de appetite, indigestões, colicas, prisão de ventre, e, bem assim. nas contu- sões, machucadelas e golpes quando nestes não se possa fazer o tratamento adequado por falta do necessario ou de pessoa habilitada.";""
"4.361";"11";"The Hall Signal Company";"Norte-americ.";"Industrial";"New-York (E. U. da America do Norte).";"Um apparelho aperfeiçoado para regu- lar a circulação em estradas de ferro.";"Cessão de Clyde Jay Coleman. de"
"4.362";"11";"The Comas Machine Com- pany.";"";"";"Salem (E. U. da America do Norte).";"Aperfeiçoamentos em machinas de fa- bricar cigarros.";"Cessão Hug o Bil- gram."
"4.363";"11";"Thomas Edwards";"Britannico";"";"Melbourne (Aus- tralia).";"Aperfeiçoamentos em fornos para us- tular minerios e materias analogas.";""
"4.364";"11";"George Westinghouse.";"Norte-americ.";"";"Pittsburg, Penn- sylvania (E. U. da America do Norte).";"Um dispositivo de propulsão.";""
"4.363";"12";"Honorio Ferreira";"Brazileiro";"Mecanico.";"s. Paulo (E. de s. Paulo).";"Um apparelho que corrige o gasto das caixas de graxa nas locomotivas.";""
"4.366";"15";"Alberto Fomm";"";"Official de mari- nha.";"Rio de Janeiro.";"Enveloppe Americano"", servindo para facilitar a abertura dos envelo- ppes.";""
"4.377";"22 de julho.";"Herbert Samuel Elworthy";"Britannico";"Engenheiro chi- mico.";"Saint Albans(In- glaterra).";"Um processo para a fabricação de gaz para illuminação, aquecimento ou lorça motriz.";""
"4.378";"22";"Credito Ibero Americano.";"Hespanhol";"Bancario.";"Barcelona (Hes- panha).";"Um extinctor de incondios - "" Systema Biosca "".";""
"4.379";"";"Fuenzalida, Guasch y c.";"Hespanhões";"Industriaes";"Buenos Aires (R. Argentina).";"Aperfeiçoamentos em machinas de ar- rolhar.";""
"4.380";"22";"Baptiste Yere";"Norte-americ.";"Industrial";"New-York (E. U. da America do Norte).";"Aperfeiçoamentos ein fornos de padaria.";""
"4.381";"28";"João Del Cioppo";"Brazileiro";"";"s. Paulo (E. de s. Paulo).";"Novo descascador-brunidor de arroz, denominado Descascador Univer- sal""";""
"4.382";"31";"Silva Paranhos & C.";"Brazileiros";"Industriaes";"Rio de Janeiro.";"Uma pasta aperfeiçoada para polimento de calçado preto ou de côr, denomi- nada < Brazil"".";""
"4.383";"7 de agosto";"Tozaburo Suzuki";"Japonez";"Industrial";"Tokio (Japão)";"Aperfeiçoamentos em caldeiras verti- caes.";""
"4.384";"7 """;"Melvin David Compton.";"Norte-americ.";"";"New-York (E. U. da America do Norte).";"Aperfeiçoamentos em carburador.";""
"4.385";"11 """;"João Cancela e Zamora";"Brazileiro";"Cirurgião den- tista.";"Jahu (Estado del s. Paulo).";"Um para inhalador anesthesia automatico geral pelo esterilizavel chlorureto de ethyla ou kelene.";""
"4.386";"16";"Gaspar Novaes de Castro";"Portuguez";"Proprietario.";"Cabeceiros, Bra- ga (Portugal).";"Escarpins aperfeiçoados em tecidos de lona e tapetes.";""
"4.387";"17";"Alvaro Alberto da Silva (Dr).";"Brazileiro";"Medico";"Rio de Janeiro.";"Um apparelho denominado ""Desinfector thermo-chimicom. aperfeiçoado de acondiciona-";""
"4.388";"26";"Fratelli Mortari";"Italianos";"Industriaes";"s. Paulo (E. de S. Paulo).";"Systema mento de lubrificantes, vaselinas e outras graxas.";""
"4.389";"26";"Manoel Rodrigues Car- neiro Junior.";"Brazileiro";"Negociante";"Rio de Janeiro.";"Systema aperfeiçoado de annuncios ou reclames.";""
"4.390";"26";"Horacio Augusto Terra. (José Ignacio de Souza";", "" -";":";"[dem";"Novo systema de rotulos picotados. Um de soldar metaes.";""
"4.391";"26";"John Frank Richardson.";"Norte-americ.";"Industrial";"Pittsburg, Penn- sylvania (E. U. da America do Norte).";"processo";""
"4.392";"26";"John Francis Appleby";"";"";"Chicago (E. U. da America do Norte).";"Machina aperfeiçoada para colher al- godão.";""
"4.393";"26";"Electric Boat Company.";"";"";"New-York (E. U. da America do Norte).";"Um apparelho reductor de pressão";"Cessão Fran Taylor Cable."
"4.394";"26";"William Petersen.";"Britannico";"Corretor de na- vios.";"Nowcastle-upon- Tyne (Ingla- terra).";"Aperfeiçoamentos em vasos de nave- gação. obter caoutchouc de";""
"4.395";"26.";"Ernest Frederick Greeff. Albert Tilt. Charles César Rossire";"Norte-americ.";"Commerciante Industrial Commerciante";"(New-York (E. U.da America do Norte).";"Um processo para plantas da familia das urtigas. navios";""
"4.396";"26";"Simon Lake.";"";"Engenheiro";"Bridgeport,Con- necticut (E.U. da America Norte).";"Chaminés telescopicas para submarinos. do";""
"4.397";"26 de agosto";"Antonio Nascimento";"Brazileiro";"Industrial";"Rio de Janeiro.";"Um apparelho para lavar roupa branca.";""
"4.398";"26";"João Teixeira Brandão.";"";"Negociante";"Idem";"Novo systema de ""vasos ou depositos para conter e transportar lixo, de- nominado -Balde hygienico para lixo""";""
"4.399";"26";"José Candido da Silva";"";"Guarda-livros";"Id m";"Novo systema de bonds sem trilho, com rodas com aros de borracha pneuma- ticos ou cheios, para transitarem em ruas bem calçadas a asphalto ou ou- tro, para conducção de passageiros e cargas.";""
"4.400";"1 de set.";"Francisco Fernandes Bal- thazar.";"";"Artifice meca- nico.";"s. Paulo (E. de s. Paulo).";"Um apparelho mecanico, a que deno- minou destinado a aplai- nar os quadrantes de qualquer ma- china.";""
"4.401";"11";"(Alexandre de Gregorio Spino. Osman Pedrosa";"Italiano Brazileiro";"Electricista Engenheiro";"Rio de Janeiro.";"Uma pilha eleetrica.";""
"4.402";"12";"Frederick George Mc Kim";"Inglez.";"Engenheiro me- canico.";"Londres (Ingla- terra).";"Aperfeiçoamentos em ou referentes a tubos pneumaticos.";""
"4.403";"13";"Luiz Pereira Cardozo Portugal.";"Portuguez";"Negociante";"Rio de Janeiro.";"Um caixão, ferragens e accessorios, a que denominou Wagon Flamengos, para conduzir aterros.";""
